DISTRITO,ESTABLECIMIENTO,DOMICILIO,DESDE,HASTA,CIRCUITO
LA MATANZA,INSTITUTO MIGUEL CANE,JUJUY 3291 E MENDOZA Y PERU,9012,9017,628
LA MATANZA,JARDIN DE INFANTES MUN 8,PARIS 1519,9018,9021,629
LA MATANZA,ANEXO 1 ESCUELA ES 5,MIGUEL CANE N° 2991,9022,9026,626
LA MATANZA,ESCUELA EST 5,PERIBEBUY NRO 2751 E SARANDI Y JUJUY,9027,9032,0632B
LA MATANZA,ESCUELA ES. N° 94,GUALEGUAYCHU 568 E /DONOVAN Y LOS NOGALES VILLA CELINA ,9033,9036,633
LA MATANZA,ESCUELA ES 4,CURAPALIGUE 1354 E ALTOLAGUIRRE Y JUNCAL TAPIALES,9037,9050,633
LA MATANZA,ESCUELA EP. 212,ESPAÑA NRO 1134 E THOMPSON Y DOMINGUEZ VILLA MADERO,9051,9061,633
LA MATANZA,ESCUELA ES 10,UGARTE 904 E SAN MARTIN Y OLAVARRIA,9062,9068,633
LA MATANZA,ESCUELA ES 115,"OLIVIERI 4126 E RECUERO Y SEQUEIRA , RAFAEL CASTILLO",9069,9078,635
LA MATANZA,COLEGIO PRIVADO G. DE LAFERRERE,J. M. DE ROSAS 11455 E/ SALVIGNY Y SANTA CATALINA G. DE LA FERRERE,9079,9085,635
LA MATANZA,ESCUELA ESB. N° 2,ILLIA 4238 E GUATEMALA Y CENTENERA SAN JUSTO,9086,9090,0626A
LA MATANZA,INSTITUTO M DE GUEMES,"POLLEDO 410/412 E AMABAY Y ALMEIRA, ALMEIRA",9091,9096,0629A
LA MATANZA,ESCUELA ES 37,"JUAN JOFRE 3267 E LLERENA Y LUJAN , ISIDRO CASANOVA",9097,9103,0629A
LA MATANZA,ESCUELA ES 40,"EL BENTEVEO 450 E EL TALA Y LA PEPERINA , C. EVITA",9104,9116,0631A
LA MATANZA,ESCUELA EST 2,"AV. R RODRIGUEZ 3850 E EL RUISEÑOR Y RODRIGUEZ, C. EVITA",9117,9123,0631B
LA MATANZA,CENTRO FORMACIÓN LABORAL 2,PUERTO ARGENTNO Y MACHAIN G. CATAN  B. EL CARMEN,9124,9133,0635A
LA MATANZA,ESCUELA ESB 50,"JB BUSTOS 4191 E VALLE Y LARRE, G. CATAN",9134,9136,0635A
LA MATANZA,INSTITUTO SUPERIOR DE FORM TEC 206,V MARTINEZ E/ SANTA ROSA Y CNEL. MONTT. G. LAFERRERE,9137,9146,0635B
LA MATANZA,ESCUELA EP. 185,RAULIES 7380 E/ SAENZ Y GOMEZ LAFERRERE,9147,9154,0635B
LA MATANZA,ESCUELA ES 111,"BALBOA N° 7064 E SAENZ Y ZELADA , G. CATAN",9155,9164,0635C
LA MATANZA,ESCUELA ES 174,"CONCORDIA 3330 E MARTIN GARCIA Y BUERAS , V. DEL PINO",9165,9169,0635E
LA MATANZA,ESCUELA ES 82,"EL DORADO 1199 E JULIO VERNE Y PARNASO, V. DEL PINO",9170,9178,0635E
LA PLATA,I.O.M.A,46 N° 886,9001,9002,466
LA PLATA,ESCUELA DE ESTETICA N° 1,45 N° 743,9003,9005,467
LA PLATA,ESCUELA EST N°1,AV.7 N° 40,9006,9006,475
LA PLATA,ESCUELA ES N°21,36 N° 382,9007,9007,476
LA PLATA,INSTITUTO MARIA AUXILIADORA,54 N° 896,9008,9009,481
LA PLATA,ASOCIACION CULTURAL Y DEP.UNIVERSAL,25 N° 1226/32 E/ 57 Y 58,9010,9011,495
LA PLATA,SECUNDARIA 71,116  2450 E/ 82,9012,9014,496
LA PLATA,ESCUELA EST N°3,63 ESQ.139,9015,9015,497
LA PLATA,ESCUELA ES N°61,52 N° 7040 E/ 235 Y 238 ETCHEVERRY,9016,9017,498
LA PLATA,ESCUELA ESPECIAL N 538,526 E/ 24 Y 25,9018,9022,501
LA PLATA,JARDIN DE INFANTES N°906,115 BIS ESQ.530,9023,9026,502
LA PLATA,COLEGIO PATRIS,"146 E/446 Y ARROYO CARNAVAL , C. BELL",9027,9027,503
LA PLATA,JARDIN DE INFANTES N°913,28 N° 480 E/471 Y 472 C.BELL,9028,9029,504
LA PLATA,ESCUELA ES N°28 ANEXO,7 E/423 Y 423 BIS N°351,9030,9030,505
LA PLATA,"SAN CARLOS,CENTYRO COMUNAL DELEGACION",137 N°19 ESQ. 32,9031,9032,508
LA PLATA,JARDIN DE INFANTES 978 - ANTONIO BERNI,178 E/ 517 Y 518,9033,9036,508
LA PLATA,UNION VECINAL UNIDOS DE OLMOS,44 E/ 183 Y 184,9037,9040,508
LA PLATA,JUAN BAUTISTA AMBROCETTI,492 Y 186,9041,9044,508
LA PLATA,COLEGIO SAN AGUSTIN  EP,"210 E/515 Y 515 BIS, ABASTO",9045,9048,509
LA PLATA,ESCUELA ES N°66,116 N° 1727 E/ 68 Y 69,9049,9050,520
LA PLATA,ESCUELA EP N°45,68 N° 200,9051,9052,520
LA PLATA,SECUNDARIA 71,116  2450 E/ 82,9053,9054,496
LA PLATA,CAMPING SAGRADO CORAZON - EP 23,610 ESQ. 13,9055,9060,0496B
LA PLATA,COLEGIO STA. MARIA DE LOS ANGE,81 E/8 BIS Y 9,9061,9063,0496C
LA PLATA,DELEG.MUNICIPAL SAN LORENZO,25 E/75 Y 76,9064,9065,0496D
LA PLATA,CAMPING SAGRADO CORAZON - EP 23,610 ESQ. 13,9066,9066,0496B
LA PLATA,UNION VECINAL UNIDOS DE OLMOS,44 E/ 183 Y 184,9067,9067,508
LA PLATA,CENTRO COMUNAL LOS HORNOS,137 1567 E/ 64 Y 65,9068,9069,497
LA PLATA,UMUPLA,60 N° 2664 E/ 148 Y 149,9070,9071,0497C
LA PLATA,CLUB DE LOS ABUELOS DE LOS HORNOS,145 N° 1426 E/ 61 Y 62,9072,9072,0497D
LA PLATA,JARDIN DE INFANTES GARABATO,"66 N° 3086 E/ 156 Y 157, LOS HORNOS",9073,9074,0497E
LA PLATA,SECUNDARIA 91,52 E/ 203 Y 208 LISANDRO OLMOS,9075,9076,0497F
LA PLATA,COLEGIO SANTA ANA,511 E/26 Y 27,9077,9079,0503A
LA PLATA,CENTRO DE ADULTOS N°726,132 BIS  E/484 Y 485,9080,9081,0504A
LA PLATA,COLEGIO DIVINA PROVIDENCIA,"27 E/419 Y 420, VILLA ELISA",9082,9083,0505A
LA PLATA,ESCUELA EP N°77/ES N°60,RUTA  6 y RUTA 53.,9084,9086,0505B
LANUS,COLEGIO LA ASUNCION,BURELA 1111 E SARMIENTO Y FRANCE,9001,9001,259
LANUS,ESCUELA EST 1,BURELA 2230 E GRAL MADARIAGA Y JUSTO,9002,9004,260
LANUS,INSTITUTO ESC DE ENF DE CRUZ ROJA,"EVA PERON NRO 2502 E VILLA LUJAN Y  DEHEZA, LANUS ESTE",9005,9008,261
LANUS,INSTITUTO CLUB ATLETICO LANUS,ARIAS N° 2001 E MADARIAGA Y ESQUIU,9009,9016,263
LANUS,CLUB 1° DE MAYO,"MANUEL CASTRO 2662 E BALCARCE Y VERNET, R. DE ESCALADA",9017,9017,264
LANUS,INSTITUTO MAGDALENA ABRAIN,YERBAL N° 3026 ,9018,9020,274
LANUS,ESCUELA EP. 21,COLOMBIA 1153 E SGO DEL ESTERO Y LAGOS,9021,9022,271
LANUS,ESCUELA EST 7,RIVADAVIA 145 E PARAGUAY Y GUATEMALA,9023,9025,272
