mesa,url_gob,id_ubicacion,id_publicacion,cant_mesas_procesadas,hora_proceso,clase_ubicacion,cant_votantes,cant_votos_positivos,porcentaje_mesas_procesadas,descripcion_ubicacion,Partido Unión Ciudadana,Vecinalismo Independiente,Movimiento Avanzada Socialista,MST - Nueva Izquierda,Córdoba Cambia,Frente de Izquierda y de los Trabajadores,Hacemos por Córdoba,Unión Cívica Radical,Unite por la Libertad y la Dignidad,Encuentro Vecinal Córdoba,Política Abierta para la Integridad Social (P.A.I.S.),Movimiento de Acción Vecinal,Movimiento Libres del Sur,Voto en BLANCO,Votos IMPUGNADOS,Votos NULOS,Votos RECURRIDOS,cargo,porcentaje_participacion,cant_votos_negativos
1786,https://datosoficiales.com.ar/resultados/CO/1/112/155/1786/INT.json,CO.1.112.155.1786,39,1,2019-05-12 21:50:01,Mesa,256,244,100.0,1786,3,5,0,6,52,11,90,36,0,18,0,0,3,20,0,2,10,INT,74.4186,12
1787,https://datosoficiales.com.ar/resultados/CO/1/112/155/1787/INT.json,CO.1.112.155.1787,51,1,2019-05-12 22:50:01,Mesa,243,233,100.0,1787,1,1,2,3,58,6,78,37,0,15,1,1,12,18,0,10,0,INT,70.6395,10
1788,https://datosoficiales.com.ar/resultados/CO/1/112/156/1788/INT.json,CO.1.112.156.1788,51,1,2019-05-12 22:50:01,Mesa,254,241,100.0,1788,2,3,0,6,61,13,90,33,1,7,0,1,10,14,0,12,1,INT,74.0524,13
1789,https://datosoficiales.com.ar/resultados/CO/1/112/156/1789/INT.json,CO.1.112.156.1789,53,1,2019-05-12 23:00:01,Mesa,267,244,100.0,1789,1,3,0,1,71,9,84,40,0,10,1,0,6,18,0,21,2,INT,78.0701,23
1790,https://datosoficiales.com.ar/resultados/CO/1/112/156/1790/INT.json,CO.1.112.156.1790,37,1,2019-05-12 21:40:01,Mesa,277,261,100.0,1790,0,5,0,6,54,17,92,40,0,14,2,1,12,18,0,16,0,INT,81.4705,16
1791,https://datosoficiales.com.ar/resultados/CO/1/112/156/1791/INT.json,CO.1.112.156.1791,39,1,2019-05-12 21:50:01,Mesa,253,236,100.0,1791,2,3,1,4,51,10,84,40,0,13,0,0,12,16,0,16,1,INT,73.5465,17
1792,https://datosoficiales.com.ar/resultados/CO/1/112/156/1792/INT.json,CO.1.112.156.1792,39,1,2019-05-12 21:50:01,Mesa,274,260,100.0,1792,2,2,0,3,49,10,107,43,0,24,0,0,8,12,0,14,0,INT,79.4202,14
1793,https://datosoficiales.com.ar/resultados/CO/1/112/156/1793/INT.json,CO.1.112.156.1793,35,1,2019-05-12 21:30:01,Mesa,250,226,100.0,1793,1,2,1,4,45,13,103,40,0,13,0,0,4,0,0,5,19,INT,72.6744,24
1794,https://datosoficiales.com.ar/resultados/CO/1/112/156/1794/INT.json,CO.1.112.156.1794,44,1,2019-05-12 22:15:01,Mesa,292,288,100.0,1794,1,0,0,8,66,8,90,41,0,12,0,0,15,47,0,4,0,INT,85.3801,4
1802,https://datosoficiales.com.ar/resultados/CO/1/112/157/1802/INT.json,CO.1.112.157.1802,47,1,2019-05-12 22:30:01,Mesa,254,240,100.0,1802,0,4,0,5,54,9,71,53,0,20,0,0,7,17,0,14,0,INT,73.6231,14
1803,https://datosoficiales.com.ar/resultados/CO/1/112/157/1803/INT.json,CO.1.112.157.1803,48,1,2019-05-12 22:35:01,Mesa,246,239,100.0,1803,3,3,0,2,62,12,60,57,0,9,0,1,11,19,0,7,0,INT,71.9298,7
1804,https://datosoficiales.com.ar/resultados/CO/1/112/157/1804/INT.json,CO.1.112.157.1804,32,1,2019-05-12 21:15:01,Mesa,238,231,100.0,1804,0,2,2,4,63,8,77,41,1,12,0,1,10,10,0,7,0,INT,68.9855,7
1805,https://datosoficiales.com.ar/resultados/CO/1/112/157/1805/INT.json,CO.1.112.157.1805,50,1,2019-05-12 22:45:02,Mesa,254,238,100.0,1805,0,6,2,6,48,9,79,47,0,20,0,0,8,13,0,16,0,INT,74.269,16
1806,https://datosoficiales.com.ar/resultados/CO/1/112/157/1806/INT.json,CO.1.112.157.1806,53,1,2019-05-12 23:00:01,Mesa,250,244,100.0,1806,7,2,2,2,58,10,66,59,0,18,0,0,9,11,1,3,2,INT,72.4637,6
1807,https://datosoficiales.com.ar/resultados/CO/1/112/157/1807/INT.json,CO.1.112.157.1807,51,1,2019-05-12 22:50:01,Mesa,257,247,100.0,1807,3,2,1,5,54,9,83,57,0,11,1,0,10,11,0,6,4,INT,74.9271,10
1808,https://datosoficiales.com.ar/resultados/CO/1/112/157/1808/INT.json,CO.1.112.157.1808,43,1,2019-05-12 22:10:01,Mesa,252,247,100.0,1808,5,3,3,4,65,10,74,49,0,11,1,0,5,17,0,5,0,INT,73.9002,5
1809,https://datosoficiales.com.ar/resultados/CO/1/112/157/1809/INT.json,CO.1.112.157.1809,48,1,2019-05-12 22:35:01,Mesa,251,246,100.0,1809,0,6,2,5,55,10,75,44,0,20,0,0,17,12,0,5,0,INT,73.3918,5
1810,https://datosoficiales.com.ar/resultados/CO/1/112/157/1810/INT.json,CO.1.112.157.1810,61,1,2019-05-12 23:40:01,Mesa,253,227,100.0,1810,1,0,1,8,62,5,78,48,0,13,0,0,7,4,0,11,15,INT,73.7609,26
1811,https://datosoficiales.com.ar/resultados/CO/1/112/157/1811/INT.json,CO.1.112.157.1811,52,1,2019-05-12 22:55:02,Mesa,266,257,100.0,1811,2,1,1,4,59,20,78,49,0,20,0,0,9,14,0,9,0,INT,77.551,9
1812,https://datosoficiales.com.ar/resultados/CO/1/112/157/1812/INT.json,CO.1.112.157.1812,62,1,2019-05-12 23:45:01,Mesa,272,261,100.0,1812,5,3,2,1,79,13,73,35,0,17,2,1,10,20,0,11,0,INT,78.6127,11
1813,https://datosoficiales.com.ar/resultados/CO/1/112/157/1813/INT.json,CO.1.112.157.1813,47,1,2019-05-12 22:30:01,Mesa,253,244,100.0,1813,7,4,0,5,46,9,96,50,0,12,1,0,3,11,0,8,1,INT,73.3333,9
1814,https://datosoficiales.com.ar/resultados/CO/1/112/157/1814/INT.json,CO.1.112.157.1814,40,1,2019-05-12 21:55:01,Mesa,258,250,100.0,1814,6,2,1,2,55,18,85,57,0,9,0,1,9,5,0,7,1,INT,75.4385,8
1815,https://datosoficiales.com.ar/resultados/CO/1/112/157/1815/INT.json,CO.1.112.157.1815,55,1,2019-05-12 23:10:01,Mesa,254,248,100.0,1815,0,5,0,7,67,9,70,55,1,10,0,0,9,15,0,5,1,INT,74.9262,6
1816,https://datosoficiales.com.ar/resultados/CO/1/112/157/1816/INT.json,CO.1.112.157.1816,49,1,2019-05-12 22:40:01,Mesa,261,246,100.0,1816,7,4,1,6,47,18,74,55,1,16,1,0,11,5,0,15,0,INT,75.872,15
